PID,CG Number,Gene Name,FBgn Number,GO Biofunction
1638685_at,CG40127,CG40127,FBgn0058127,0009303 // rRNA transcription // inferred from sequence or structural similarity
1638686_at,HDC08157,---,---,---
1638687_at,CG40298,CG40298,FBgn0058298,---
1638688_at,CG15269,CG15269,FBgn0028878,---
1638689_s_at,Dm.U.48758.0,---,---,---
1638690_at,CG5537,CG5537,FBgn0035639,---
1638691_at,CG32202,CG32202,FBgn0052202,---
1638692_at,CG34118,CG34118,FBgn0083954,---
1638693_s_at,CG1882,CG1882,FBgn0033226,---
1638694_at,S.C3L000654,---,---,---
1638695_at,CG3415,CG3415,FBgn0030731,0006508 // proteolysis // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
1638696_a_at,CG3552,CG3552,FBgn0035999,---
1638697_at,CG5597,CG5597,FBgn0034920,---
1638698_at,HDC13980,---,---,---
1638699_at,CG6470,CG6470,FBgn0030933,---
1638700_at,CG8250,Alk,FBgn0040505,0000186 // activation of MAPKK activity // inferred from mutant phenotype /// 0006468 // protein amino acid phosphorylation // non-traceable author statement /// 0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0007169 // transmembrane receptor protein tyrosine kinase signaling pathway // inferred from electronic annotation /// 0007411 // axon guidance // inferred from mutant phenotype /// 0007498 // mesoderm development // inferred from mutant phenotype /// 0007522 // visceral muscle development // inferred from mutant phenotype /// 0042051 // compound eye photoreceptor development // inferred from mutant phenotype /// 0045610 // regulation of hemocyte differentiation // inferred from mutant phenotype /// 0048565 // gut development // inferred from mutant phenotype
1638701_at,CG3825,CG3825,FBgn0034948,---
1638702_a_at,CG8819,achi,FBgn0033749,"0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007283 // spermatogenesis // inferred from expression pattern /// 0007283 // spermatogenesis // inferred from mutant phenotype /// 0007283 // spermatogenesis // inferred from physical interaction /// 0045449 // regulation of transcription // inferred from sequence or structural similarity /// 0045449 // regulation of transcription // inferred from electronic annotation"
1638703_a_at,CG32048,CG32048,FBgn0052048,---
1638704_at,CG11759,Kap3,FBgn0028421,0007018 // microtubule-based movement // inferred from sequence or structural similarity /// 0007288 // sperm axoneme assembly // inferred from mutant phenotype /// 0035058 // sensory cilium assembly // inferred from mutant phenotype
1638705_at,CG14069,CG14069,FBgn0032315,---
1638706_at,S.CX001585,---,---,---
1638707_at,HDC15101,---,---,---
1638708_s_at,CG10272,gpp,FBgn0014963,0006342 // chromatin silencing // inferred from genetic interaction /// 0006342 // chromatin silencing // inferred from mutant phenotype /// 0006348 // chromatin silencing at telomere // inferred from mutant phenotype /// 0016568 // chromatin modification // inferred from electronic annotation /// 0016571 // histone methylation // inferred from mutant phenotype /// 0030702 // chromatin silencing at centromere // inferred from mutant phenotype /// 0048096 // chromatin-mediated maintenance of transcription // inferred from genetic interaction /// 0048096 // chromatin-mediated maintenance of transcription // inferred from mutant phenotype
1638709_at,CG6829,Ark,FBgn0024252,0006915 // apoptosis // non-traceable author statement /// 0006915 // apoptosis // traceable author statement /// 0006915 // apoptosis // inferred from electronic annotation /// 0006917 // induction of apoptosis // traceable author statement /// 0006919 // caspase activation // inferred from physical interaction /// 0006919 // caspase activation // inferred from sequence or structural similarity /// 0006919 // caspase activation // traceable author statement /// 0006974 // response to DNA damage stimulus // traceable author statement /// 0007291 // sperm individualization // inferred from mutant phenotype /// 0007423 // sensory organ development // inferred from mutant phenotype /// 0007559 // histolysis // inferred from mutant phenotype /// 0008635 // caspase activation via cytochrome c // inferred from mutant phenotype /// 0008635 // caspase activation via cytochrome c // inferred from physical interaction /// 0008635 // caspase activation via cytochrome c // traceable author statement /// 0010332 // response to gamma radiation // inferred from direct assay /// 0012501 // programmed cell death // inferred from direct assay /// 0012501 // programmed cell death // non-traceable author statement /// 0021556 // central nervous system formation // inferred from mutant phenotype /// 0035071 // salivary gland cell autophagic cell death // inferred from mutant phenotype /// 0046668 // regulation of retinal cell programmed cell death // non-traceable author statement
1638710_at,CG14367,CG14367,FBgn0038170,0042384 // cilium assembly // not recorded
1638711_at,CG5706,CG5706,FBgn0039175,0006412 // translation // inferred from electronic annotation /// 0006432 // phenylalanyl-tRNA aminoacylation // inferred from sequence or structural similarity /// 0006432 // phenylalanyl-tRNA aminoacylation // inferred from electronic annotation
1638712_at,CG34230,CG34230,FBgn0085259,---
1638713_at,S.C2R000881,---,FBgn0053472,---
1638714_at,CG8982,Acp26Aa,FBgn0002855,0007321 // sperm displacement // non-traceable author statement /// 0007610 // behavior // inferred from electronic annotation /// 0007618 // mating // inferred from electronic annotation /// 0018991 // oviposition // non-traceable author statement /// 0018991 // oviposition // traceable author statement /// 0030728 // ovulation // inferred from mutant phenotype /// 0030728 // ovulation // traceable author statement /// 0045297 // post-mating behavior // non-traceable author statement /// 0046662 // regulation of oviposition // non-traceable author statement /// 0046692 // sperm competition // traceable author statement /// 0048042 // regulation of post-mating oviposition // traceable author statement
1638715_s_at,S.C3R002049,---,---,---
1638716_a_at,CG10725,CG10725,FBgn0036362,0006030 // chitin metabolic process // inferred from electronic annotation
1638717_at,CG10932,CG10932,FBgn0029969,0006090 // pyruvate metabolic process // inferred from sequence or structural similarity /// 0006633 // fatty acid biosynthetic process // inferred from sequence or structural similarity /// 0008152 // metabolic process // inferred from electronic annotation
1638718_at,S.C2R002196,---,---,---
1638719_s_at,CG14011,CG14011,FBgn0031722,---
1638720_x_at,CG41012,CG41012,FBgn0085553,---
1638721_s_at,CG18624,CG18624,FBgn0029971,"0006120 // mitochondrial electron transport, NADH to ubiquinone // inferred from sequence or structural similarity /// 0055114 // oxidation reduction // inferred from electronic annotation"
1638722_at,CG16807,roq,FBgn0036621,---
1638723_at,HDC19986,---,---,---
1638724_at,CG18507,CG18507,FBgn0028527,---
1638725_at,CG4192,kek3,FBgn0028370,---
1638726_at,CG1715,l(3)03670,FBgn0010808,---
1638727_at,LD18978,---,---,---
1638728_at,CG17994,CG17994,FBgn0033072,---
1638729_at,CG8589,CG8589,FBgn0033921,---
1638730_at,CG4167,Hsp67Ba,FBgn0001227,0006950 // response to stress // inferred from electronic annotation /// 0009408 // response to heat // inferred from sequence or structural similarity /// 0009408 // response to heat // non-traceable author statement /// 0009408 // response to heat // inferred from electronic annotation
1638731_at,CG10898,CG10898,FBgn0037911,0006281 // DNA repair // inferred from sequence or structural similarity
1638732_at,CG7071,CG7071,FBgn0038949,---
1638733_at,CG3984,CG3984,FBgn0038291,---
1638734_at,CG4907,CG4907,FBgn0039010,0006506 // GPI anchor biosynthetic process // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation
1638735_at,CG8806,prel,FBgn0033413,---
1638736_at,CG11458,CG11458,FBgn0040637,---
1638737_at,CG17209,CG17209,FBgn0030687,0006350 // transcription // inferred from electronic annotation /// 0006383 // transcription from RNA polymerase III promoter // inferred from sequence or structural similarity
1638738_s_at,CG11804,ced-6,FBgn0029092,0006909 // phagocytosis // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0016319 // mushroom body development // inferred from mutant phenotype
1638739_at,CG14031,Cyp4ac3,FBgn0031695,0055114 // oxidation reduction // inferred from electronic annotation
1638740_at,Dm.2L.4387.0,---,---,---
1638741_at,GM05554,---,---,0006470 // protein amino acid dephosphorylation // inferred from sequence or structural similarity /// 0006916 // anti-apoptosis // non-traceable author statement /// 0007165 // signal transduction // inferred from electronic annotation
1638742_at,CG18348,Cpr67Fb,FBgn0036110,---
1638743_at,CG31745,CG31745,FBgn0051745,---
1638744_at,CG32439,Rab26,FBgn0085439,0006810 // transport // inferred from electronic annotation /// 0007264 // small GTPase mediated signal transduction // inferred from electronic annotation /// 0015031 // protein transport // inferred from electronic annotation /// 0017157 // regulation of exocytosis // inferred from sequence or structural similarity
1638745_at,Dm.X.50732.0,---,---,---
1638746_at,S.C3L000852,---,---,---
1638747_at,S.C2L002410,---,---,---
1638748_at,CG1007,emc,FBgn0000575,"0000122 // negative regulation of transcription from RNA polymerase II promoter // traceable author statement /// 0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007286 // spermatid development // inferred from mutant phenotype /// 0007391 // dorsal closure // inferred from mutant phenotype /// 0007399 // nervous system development // non-traceable author statement /// 0007422 // peripheral nervous system development // inferred from mutant phenotype /// 0007423 // sensory organ development // non-traceable author statement /// 0007423 // sensory organ development // traceable author statement /// 0007460 // R8 cell fate commitment // non-traceable author statement /// 0007476 // imaginal disc-derived wing morphogenesis // inferred from genetic interaction /// 0007476 // imaginal disc-derived wing morphogenesis // inferred from mutant phenotype /// 0007494 // midgut development // inferred from mutant phenotype /// 0007530 // sex determination // inferred from genetic interaction /// 0007541 // sex determination, primary response to X:A ratio // traceable author statement /// 0008258 // head involution // inferred from mutant phenotype /// 0008283 // cell proliferation // inferred from genetic interaction /// 0008283 // cell proliferation // inferred from mutant phenotype /// 0008407 // bristle morphogenesis // traceable author statement /// 0008586 // imaginal disc-derived wing vein morphogenesis // inferred from genetic interaction /// 0008586 // imaginal disc-derived wing vein morphogenesis // inferred from mutant phenotype /// 0008586 // imaginal disc-derived wing vein morphogenesis // non-traceable author statement /// 0016481 // negative regulation of transcription // non-traceable author statement /// 0016481 // negative regulation of transcription // traceable author statement /// 0045449 // regulation of transcription // inferred from electronic annotation"
1638749_at,CG32611,mamo,FBgn0085375,0007143 // female meiosis // inferred from mutant phenotype /// 0007276 // gamete generation // inferred from mutant phenotype /// 0016068 // type I hypersensitivity // inferred from electronic annotation /// 0035041 // sperm chromatin decondensation // inferred from mutant phenotype
1638750_at,CG5440,CG5440,FBgn0031331,0043687 // post-translational protein modification // inferred from electronic annotation /// 0051246 // regulation of protein metabolic process // inferred from electronic annotation
1638751_a_at,CG4004,CG4004,FBgn0030418,---
1638752_s_at,CG31961,CG31961,FBgn0051961,0007021 // tubulin complex assembly // inferred from sequence or structural similarity
1638753_at,CG7890,Hs3st-B,FBgn0031005,0001745 // compound eye morphogenesis // inferred from mutant phenotype /// 0007032 // endosome organization // inferred from mutant phenotype /// 0007040 // lysosome organization // inferred from mutant phenotype /// 0007219 // Notch signaling pathway // inferred from genetic interaction /// 0007219 // Notch signaling pathway // inferred from mutant phenotype /// 0007474 // imaginal disc-derived wing vein specification // inferred from mutant phenotype /// 0007476 // imaginal disc-derived wing morphogenesis // inferred from mutant phenotype /// 0008407 // bristle morphogenesis // inferred from mutant phenotype /// 0008586 // imaginal disc-derived wing vein morphogenesis // inferred from mutant phenotype /// 0008587 // imaginal disc-derived wing margin morphogenesis // inferred from mutant phenotype /// 0016348 // imaginal disc-derived leg joint morphogenesis // inferred from mutant phenotype /// 0048190 // wing disc dorsal/ventral pattern formation // inferred from mutant phenotype /// 0050768 // negative regulation of neurogenesis // inferred from mutant phenotype /// 0051036 // regulation of endosome size // inferred from mutant phenotype
1638754_s_at,CG8445,CG8445,FBgn0034088,0006511 // ubiquitin-dependent protein catabolic process // inferred from electronic annotation
1638755_at,HDC02273,---,---,---
1638756_at,CG17279,CG17279,FBgn0038850,---
1638757_a_at,CG17780,CG17780,FBgn0039197,---
1638758_at,CG3016,CG3016,FBgn0029819,0006511 // ubiquitin-dependent protein catabolic process // inferred from electronic annotation
1638759_at,CG6172,vnd,FBgn0003986,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // non-traceable author statement /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007389 // pattern specification process // non-traceable author statement /// 0007398 // ectoderm development // traceable author statement /// 0007399 // nervous system development // inferred from electronic annotation /// 0007400 // neuroblast fate determination // inferred from mutant phenotype /// 0007400 // neuroblast fate determination // traceable author statement /// 0007417 // central nervous system development // non-traceable author statement /// 0007419 // ventral cord development // non-traceable author statement /// 0007419 // ventral cord development // traceable author statement /// 0007420 // brain development // inferred from mutant phenotype /// 0007420 // brain development // traceable author statement /// 0009953 // dorsal/ventral pattern formation // traceable author statement /// 0010551 // regulation of specific transcription from RNA polymerase II promoter // inferred from mutant phenotype /// 0014019 // neuroblast development // inferred from mutant phenotype /// 0021782 // glial cell development // inferred from mutant phenotype /// 0030154 // cell differentiation // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation"
1638760_at,CG15545,CG15545,FBgn0039806,---
1638761_at,CG32151,CG32151,FBgn0052151,---
1638762_at,CG3843,RpL10Aa,FBgn0038281,"0006396 // RNA processing // inferred from electronic annotation /// 0006412 // translation // inferred from sequence or structural similarity /// 0006412 // translation // inferred from electronic annotation /// 0006911 // phagocytosis, engulfment // inferred from mutant phenotype"
1638763_at,CG32030,Fhos,FBgn0052030,0016043 // cellular component organization // inferred from electronic annotation /// 0030036 // actin cytoskeleton organization // inferred from electronic annotation
1638764_at,CG13516,CG13516,FBgn0040658,---
1638765_at,CG7818,CG7818,FBgn0032016,"0001510 // RNA methylation // inferred from sequence or structural similarity /// 0006139 // nucleobase, nucleoside, nucleotide and nucleic acid metabolic process // inferred from electronic annotation"
1638766_at,CG34006,CG34006,FBgn0054006,---
1638767_at,CG15059,CG15059,FBgn0030905,---
1638768_at,CG2560,Cpr11A,FBgn0030394,---
1638769_a_at,CG15059,CG15059,FBgn0030905,---
1638770_a_at,CG6742,cenB1A,FBgn0039056,"0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0006911 // phagocytosis, engulfment // inferred from mutant phenotype /// 0032312 // regulation of ARF GTPase activity // inferred from electronic annotation"
1638771_at,S.C3R001751,---,---,---
1638772_at,CG18107,CG18107,FBgn0034330,---
1638773_at,CG31353,CG31353,FBgn0051353,---
1638774_at,CG16904,CG16904,FBgn0037763,---
1638775_at,CG8523,Mdr50,FBgn0010241,0006810 // transport // inferred from electronic annotation /// 0015893 // drug transport // inferred from sequence or structural similarity
1638776_at,CT34403,,---,---
1638777_at,CG7301,Rim,FBgn0053547,0006886 // intracellular protein transport // inferred from electronic annotation /// 0007269 // neurotransmitter secretion // non-traceable author statement /// 0016079 // synaptic vesicle exocytosis // inferred from sequence or structural similarity /// 0016192 // vesicle-mediated transport // non-traceable author statement /// 0017157 // regulation of exocytosis // inferred from sequence or structural similarity
1638778_at,CG10352,CG10352,FBgn0030348,0008152 // metabolic process // inferred from electronic annotation
1638779_at,CG8961,tef,FBgn0086350,0007060 // male meiosis chromosome segregation // inferred from mutant phenotype /// 0007129 // synapsis // non-traceable author statement /// 0007141 // male meiosis I // inferred from mutant phenotype
1638780_at,CG31201,GluRIIE,FBgn0051201,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation
1638781_at,CG31913,CG31913,FBgn0051913,---
1638782_at,CG8195,CG8195,FBgn0034032,---
1638783_at,CG17642,mRpL48,FBgn0031357,0006412 // translation // inferred from electronic annotation
1638784_s_at,CG34261,CG34261,FBgn0085290,---
1638785_at,CG14585,CG14585,FBgn0036757,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation
1638786_at,CG13036,CG13036,FBgn0036626,---
1638787_at,CG40207,CG40207,FBgn0058207,---
1638788_at,CG32574,Twdlalpha,FBgn0052574,---
1638789_at,CG6544,fau,FBgn0020439,0006950 // response to stress // inferred from electronic annotation /// 0006979 // response to oxidative stress // inferred from direct assay
1638790_at,CG31386,CG31386,FBgn0051386,---
1638791_at,HDC14001,---,---,---
1638792_at,CG32098,CG32098,FBgn0052098,---
1638793_at,CG31406,CG31406,FBgn0051406,---
1638794_at,CG32247,CG32247,FBgn0052247,---
1638795_at,CG5341,sec6,FBgn0034367,0002168 // instar larval development // inferred from mutant phenotype /// 0006810 // transport // inferred from electronic annotation /// 0006887 // exocytosis // inferred from electronic annotation /// 0007009 // plasma membrane organization // inferred from mutant phenotype /// 0007269 // neurotransmitter secretion // non-traceable author statement /// 0008594 // photoreceptor cell morphogenesis // inferred from mutant phenotype /// 0015031 // protein transport // inferred from mutant phenotype /// 0015031 // protein transport // inferred from electronic annotation /// 0016080 // synaptic vesicle targeting // inferred from sequence or structural similarity /// 0016080 // synaptic vesicle targeting // non-traceable author statement /// 0016081 // synaptic vesicle docking during exocytosis // inferred from sequence or structural similarity /// 0016081 // synaptic vesicle docking during exocytosis // non-traceable author statement /// 0016192 // vesicle-mediated transport // inferred from sequence or structural similarity /// 0042052 // rhabdomere development // inferred from mutant phenotype /// 0045313 // rhabdomere membrane biogenesis // inferred from mutant phenotype /// 0045494 // photoreceptor cell maintenance // inferred from mutant phenotype /// 0045921 // positive regulation of exocytosis // inferred from mutant phenotype
1638796_at,CG6195,CG6195,FBgn0038723,---
1638797_a_at,CG31543,CG31543,FBgn0086689,0019538 // protein metabolic process // inferred from electronic annotation
1638798_at,HDC19023,---,---,---
1638799_at,CG30082,CG30082,FBgn0050082,---
1638800_a_at,CG14154,CG14154,FBgn0036093,---
1638801_at,CG14229,CG14229,FBgn0031059,---
1638802_at,CG31415,CG31415,FBgn0051415,---
1638803_at,CG3312,Rnp4F,FBgn0014024,0006396 // RNA processing // inferred from electronic annotation /// 0006396 // RNA processing // inferred from direct assay /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007417 // central nervous system development // inferred from mutant phenotype
1638804_a_at,CG40293,Stlk,FBgn0046692,0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0006468 // protein amino acid phosphorylation // non-traceable author statement
1638805_at,CG10068,CG10068,FBgn0037473,0000910 // cytokinesis // inferred from mutant phenotype /// 0006909 // phagocytosis // inferred from electronic annotation
1638806_at,CG5083,Rbf2,FBgn0038390,0000122 // negative regulation of transcription from RNA polymerase II promoter // inferred from genetic interaction /// 0051726 // regulation of cell cycle // inferred from sequence or structural similarity
1638807_s_at,CG4829,CG4829,FBgn0030796,---
1638808_at,CG2715,Syx4,FBgn0024980,0006810 // transport // inferred from electronic annotation /// 0006836 // neurotransmitter transport // inferred from electronic annotation /// 0007269 // neurotransmitter secretion // inferred from sequence or structural similarity /// 0016079 // synaptic vesicle exocytosis // inferred from sequence or structural similarity /// 0016081 // synaptic vesicle docking during exocytosis // inferred from sequence or structural similarity /// 0016192 // vesicle-mediated transport // inferred from sequence or structural similarity /// 0016192 // vesicle-mediated transport // inferred from electronic annotation
1638809_at,CG34284,CG34284,FBgn0085313,---
1638810_at,CG14993,Faa,FBgn0016013,0008152 // metabolic process // inferred from electronic annotation /// 0009072 // aromatic amino acid family metabolic process // inferred from electronic annotation
1638811_at,CG7334,Sug,FBgn0036191,0006810 // transport // inferred from electronic annotation /// 0008340 // determination of adult life span // inferred from mutant phenotype
1638812_at,CG11501,CG11501,FBgn0039666,---
1638813_at,CG15499,CG15499,FBgn0038891,---
1638814_at,HDC20587,---,---,---
1638815_at,CG14850,CG14850,FBgn0038239,---
1638816_at,CG3884,CG3884,FBgn0033786,---
1638817_at,CG15594,CG15594,FBgn0037421,---
1638818_at,CG33149,CG33149,FBgn0011643,0007275 // multicellular organismal development // inferred from electronic annotation /// 0007519 // skeletal muscle development // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation
1638819_at,CG31712,CG31712,FBgn0051712,---
1638820_at,CG34362,CG34362,FBgn0085391,---
1638821_a_at,CG31732,yuri,FBgn0045842,0042332 // gravitaxis // non-traceable author statement
1638822_at,CG6859,CG6859,FBgn0036484,0007031 // peroxisome organization // inferred from sequence or structural similarity /// 0007031 // peroxisome organization // inferred from electronic annotation
1638823_at,CG30259,CG30259,FBgn0050259,---
1638824_a_at,CG4211,nonA,FBgn0004227,"0000398 // nuclear mRNA splicing, via spliceosome // inferred from sequence or structural similarity /// 0007601 // visual perception // non-traceable author statement /// 0007601 // visual perception // traceable author statement /// 0007601 // visual perception // inferred from electronic annotation /// 0007632 // visual behavior // non-traceable author statement /// 0042331 // phototaxis // non-traceable author statement /// 0045433 // male courtship behavior, veined wing generated song production // non-traceable author statement /// 0045433 // male courtship behavior, veined wing generated song production // traceable author statement /// 0050896 // response to stimulus // inferred from electronic annotation"
1638825_at,CG16813,CG16813,FBgn0032490,---
1638826_at,HDC08921,---,---,---
1638827_at,CG3640,CG3640,FBgn0035042,---
1638828_a_at,CG17378,CG17378,FBgn0031858,---
1638829_s_at,CG32491,mod(mdg4),FBgn0002781,"0001672 // regulation of chromatin assembly or disassembly // inferred from mutant phenotype /// 0006325 // establishment or maintenance of chromatin architecture // non-traceable author statement /// 0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006412 // translation // inferred from electronic annotation /// 0006915 // apoptosis // inferred from electronic annotation /// 0006917 // induction of apoptosis // inferred from mutant phenotype /// 0006917 // induction of apoptosis // traceable author statement /// 0006997 // nucleus organization // traceable author statement /// 0007060 // male meiosis chromosome segregation // inferred from mutant phenotype /// 0007141 // male meiosis I // inferred from mutant phenotype /// 0008354 // germ cell migration // inferred from genetic interaction /// 0008354 // germ cell migration // inferred from mutant phenotype /// 0016568 // chromatin modification // inferred from electronic annotation /// 0042981 // regulation of apoptosis // inferred from mutant phenotype /// 0048477 // oogenesis // inferred from mutant phenotype"
1638830_at,CG9556,alien,FBgn0013746,"0006911 // phagocytosis, engulfment // inferred from mutant phenotype /// 0007165 // signal transduction // inferred from sequence or structural similarity /// 0007275 // multicellular organismal development // inferred from mutant phenotype /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation /// 0045892 // negative regulation of transcription, DNA-dependent // traceable author statement /// 0048477 // oogenesis // inferred from electronic annotation"
1638831_at,HDC18297,---,---,---
1638832_at,CG8415,RpS23,FBgn0033912,0006412 // translation // inferred from sequence or structural similarity /// 0006412 // translation // inferred from electronic annotation
1638833_at,CG2448,FucT6,FBgn0030327,0006486 // protein amino acid glycosylation // inferred from sequence or structural similarity /// 0033578 // protein amino acid glycosylation in Golgi // inferred from electronic annotation
1638834_a_at,CG14802,MED18,FBgn0026873,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006357 // regulation of transcription from RNA polymerase II promoter // inferred by curator /// 0006366 // transcription from RNA polymerase II promoter // inferred from mutant phenotype"
1638835_at,HDC02489,---,---,---
1638836_at,CG34133,CG34133,FBgn0083969,---
1638837_a_at,CG12788,CG12788,FBgn0031041,0006626 // protein targeting to mitochondrion // inferred from sequence or structural similarity /// 0006626 // protein targeting to mitochondrion // inferred from electronic annotation /// 0006810 // transport // inferred from electronic annotation /// 0015031 // protein transport // inferred from sequence or structural similarity /// 0015031 // protein transport // non-traceable author statement /// 0015031 // protein transport // inferred from electronic annotation /// 0045039 // protein import into mitochondrial inner membrane // inferred from electronic annotation /// 0065002 // intracellular protein transmembrane transport // inferred from electronic annotation
1638838_at,CG13030,sinah,FBgn0036669,0006511 // ubiquitin-dependent protein catabolic process // inferred from electronic annotation /// 0006511 // ubiquitin-dependent protein catabolic process // inferred from sequence or structural similarity /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007423 // sensory organ development // inferred from sequence or structural similarity /// 0016567 // protein ubiquitination // inferred from electronic annotation /// 0045676 // regulation of R7 cell differentiation // inferred from sequence or structural similarity
1638839_at,CG8092,CG8092,FBgn0033998,"0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation"
1638840_at,CG14641,CG14641,FBgn0037220,"0000381 // regulation of alternative nuclear mRNA splicing, via spliceosome // inferred from mutant phenotype"
1638841_at,CG8190,eIF2B-gamma,FBgn0034029,0006413 // translational initiation // inferred from sequence or structural similarity /// 0009058 // biosynthetic process // inferred from electronic annotation
1638842_at,HDC07125,---,---,---
1638843_at,HDC12482,---,---,---
1638844_s_at,CG3714,CG3714,FBgn0031589,0006979 // response to oxidative stress // inferred from sequence or structural similarity /// 0019363 // pyridine nucleotide biosynthetic process // inferred from electronic annotation
1638845_at,CG18643,CG18643,FBgn0037898,0019478 // D-amino acid catabolic process // inferred from electronic annotation
1638846_at,CG3402,CG3402,FBgn0035148,---
1638847_s_at,CG14792,sta,FBgn0003517,0000022 // mitotic spindle elongation // inferred from mutant phenotype /// 0006096 // glycolysis // inferred from electronic annotation /// 0006412 // translation // inferred from sequence or structural similarity /// 0006412 // translation // non-traceable author statement /// 0006412 // translation // inferred from electronic annotation /// 0007052 // mitotic spindle organization // inferred from mutant phenotype /// 0007275 // multicellular organismal development // inferred from electronic annotation
1638848_at,CG6241,CG6241,FBgn0037792,---
1638849_a_at,CG2875,CG2875,FBgn0029672,---
1638850_at,HDC02243,---,---,---
1638851_at,CG5280,CG5280,FBgn0035952,---
1638852_at,CG10675,CHKov2,FBgn0039328,---
1638853_at,CG32971,CG32971,FBgn0052971,---
1638854_s_at,CG17667,CG17667,FBgn0036312,---
1638855_at,HDC14222,---,---,---
1638856_at,CG2650,CG2650,FBgn0000092,0007623 // circadian rhythm // inferred from expression pattern /// 0048511 // rhythmic process // inferred from electronic annotation
1638857_at,CG3605,CG3605,FBgn0031493,"0000398 // nuclear mRNA splicing, via spliceosome // inferred from sequence or structural similarity /// 0006397 // mRNA processing // inferred from electronic annotation"
1638858_at,CG42235,CG42235,FBgn0250757,0006810 // transport // inferred from electronic annotation
1638859_at,CG14741,CG14741,FBgn0037989,0006754 // ATP biosynthetic process // inferred from electronic annotation /// 0006812 // cation transport // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0015914 // phospholipid transport // inferred from electronic annotation
1638860_s_at,S.C3L001396,---,---,---
1638861_at,CG32457,CG32457,,---
1638862_at,CG15553,CG15553,FBgn0039817,---
1638863_at,CT33154,,---,---
1638864_at,CG17060,Rab10,FBgn0015789,"0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007264 // small GTPase mediated signal transduction // inferred from electronic annotation /// 0015031 // protein transport // inferred from electronic annotation"
1638865_x_at,CG40329,CG40329,,---
1638866_at,CG9542,CG9542,FBgn0031821,---
1638867_at,CG16800,CG16800,FBgn0032462,---
1638868_at,CG9241,Mcm10,FBgn0032929,0006260 // DNA replication // inferred from mutant phenotype /// 0006260 // DNA replication // inferred from electronic annotation /// 0006267 // pre-replicative complex assembly // non-traceable author statement /// 0016321 // female meiosis chromosome segregation // inferred from mutant phenotype /// 0030261 // chromosome condensation // inferred from mutant phenotype /// 0051726 // regulation of cell cycle // inferred from sequence or structural similarity
1638869_at,CG10112,Cpr51A,FBgn0033942,---
1638870_at,CG1958,CG1958,FBgn0029940,---
